sample,I_in,Q_in,I_out,Q_out,phase_err,u,nco_sin,nco_cos
2126,515,-16375,5464,-6104,-41893888,-21265896,21096,25072
2127,1029,-16351,5468,-6099,-41330480,-21268551,20317,25708
2128,1542,-16311,5472,-6096,-40788516,-21271040,19519,26319
2129,2053,-16254,5477,-6092,-40232604,-21273324,18703,26905
2130,2563,-16182,5481,-6087,-39682084,-21275839,17869,27466
2131,3070,-16093,5486,-6084,-39105049,-21278346,17018,28001
2132,3574,-15989,5490,-6079,-38541089,-21281240,16151,28510
2133,4074,-15869,5495,-6075,-37989637,-21284034,15269,28992
2134,4571,-15733,5499,-6071,-37450973,-21286734,14372,29447
2135,5063,-15582,5504,-6067,-36878326,-21289334,13462,29874
2136,5550,-15415,5508,-6063,-36321616,-21292412,12539,30273
